message,harm_type,harm_note
is their a way to see other people's picks so that we can tail them on our regular book I'm trying to follow some of these guys picks and make money on the books,addiction_normalization,Seeking to blindly copy others' bets promotes reckless gambling behavior without personal analysis
Gunnar is fucking horrid,toxic,Aggressive insult directed at a player
who is this bozo talking????,toxic,Dismissive insult directed at a speaker on stream.
you gotta be a kid to be an O's fan,toxic,"Mocking insult toward Orioles fans, implying immaturity."
A's F5 is a donation,persuasion,"Implies betting against a certain line is guaranteed money, pressuring viewers toward a specific bet."
crackheads and homeless people,toxic,Derogatory comment disparaging a city's residents in a dehumanizing way.
gootz is rat meat,toxic,"Derogatory insult directed at streamer or personality, comparing them to 'rat meat'."
ocean shitty,toxic,"Mildly vulgar dismissive comment, low-level toxicity toward a location."
Baltimore bottom 5 city,toxic,"Dismissive/insulting remark about a city, borderline toxic."
he's ass,toxic,Crude insult directed at an unspecified person (likely streamer or player).
Hitler Krabs,toxic,Casual Hitler reference used as humor/insult in chat.
But a bunch of fairies moved in and ruined the browns chances lol,toxic,Use of 'fairies' as a derogatory slur.
Circle jerking with vibrators,toxic,Crude sexual comment that is inappropriate and vulgar in the chat context.
19 dummy,toxic,Insulting another user by calling them 'dummy'.
Fk Sampson,toxic,"Aggressive profanity directed at a player, contributing to toxic chat environment."
utter dog shit,toxic,"Crude insult expressing frustration, mildly toxic language."
Joey playing like a bag of donuts,toxic,Insulting a player's performance with a derogatory comparison.
"Whiney ass mfkrs,lol. I ain't mad atcha",toxic,Mild insult directed at other users calling them 'whiney ass mfkrs'
Joe u sum shhhht,toxic,Insulting a player by calling them 'shit'
Put his ass on the bench,toxic,Mildly aggressive language toward a player
these can't be real ppl in here,toxic,"Dismissive comment implying other chat users are bots or not legitimate, mildly hostile toward the community."
need 85 you dork,toxic,Name-calling directed at the streamer or another user.
@jdmr304eddy U lying like shhht,toxic,Direct accusation and mild insult toward another user
U still waisting your day trying to be negative for attention lol,toxic,Passive-aggressive attack on another user's character and intentions
no reply lol I let em talk to themselves.. I ain't your friend,toxic,Dismissive and hostile rejection of other chat members
Women cant raise a Man,toxic,"Sexist statement unrelated to sports betting, demeaning to women"
@jdmr304eddy No here come you crying about the crying....right on time everyday same shhht lol,toxic,Mocking and dismissive harassment directed at another user
@jdmr304eddy One day the world will be shut of you...hope you like yourself so much then.,toxic,Veiled threat suggesting the world would be better without this person
FuQ off Jerome,toxic,Profane dismissal directed at the streamer or another person
@jdmr304eddy I'll go ahead and ignore you like everybody else so u can head on out!  Lol,toxic,Bullying comment implying the user is universally disliked and unwelcome
Trent is such a pussy,toxic,Vulgar insult directed at a person named Trent
losing sneak wagers fucking sucks,addiction_normalization,"Normalizes gambling losses as a routine emotional experience, reinforcing continued betting behavior"
Rav in cuck chair,toxic,Uses derogatory slang to mock/insult the streamer
hell yeah Biev join the 3 peat before it's too late,persuasion,Uses urgency and FOMO tactics to pressure someone into joining betting activity
I mean you suck at gambling but talking about the fam is wild,toxic,Insults the streamer's gambling ability while discussing the situation
Karma is a bitch,toxic,Passive-aggressive comment implying someone deserved negative consequences
people are Fucking losers,toxic,Aggressive language and name-calling directed at other users
i wont talk about famiily but fuck biev,toxic,Direct insult/hostility toward the streamer
lady boy biev,toxic,Derogatory slur used as an insult toward the streamer
hey Rav FUCK YOU I took Mike and John,toxic,Aggressive profanity directed at the streamer
"Awful coach idc, put him at low major school he's fired in 6 years",toxic,"Dismissive insult directed at a coach, expressing contempt without constructive criticism."
Terrible coach,toxic,Low-effort insult targeting a coach with no substantive critique.
Fuck that Ref,toxic,"Profane outburst directed at a referee, contributes to hostile chat environment."
biev you woulda shit down your leg with the ball in your hands in this exact moment too,toxic,"Crude insult directed at the streamer, mocking them in a demeaning way."
"Boozer bros and dad can kick rocks, tired of those fools",toxic,Aggressive dismissal and insult toward a family of players.
hand up i lost every wager yesterday,addiction_normalization,Casual disclosure of losing all bets normalizes significant gambling losses as routine.
Any bag today Rav? You were TRASHED at the party with LAZY EYE. 😂😂😂 W SCREENSHOTS!,toxic,"Mocking the streamer's appearance and intoxicated state with screenshots, potentially embarrassing content."
Lady boy Rav?????,toxic,Derogatory slur used toward the streamer.
so did u fuck or what,toxic,"Crude, inappropriate personal question pressuring disclosure of sexual activity."
Trent needs to find a girl thats just as much of a degenerate as him.,addiction_normalization,Normalizes 'degenerate' gambling behavior as a desirable trait in a partner.
all 4 inches,toxic,Sexual mockery/body shaming directed at streamer or others.
trent finally on the opposite end of backshots,toxic,Sexual comment directed at the streamer that could be considered harassment
can we stfu and find some plays,toxic,Aggressive language telling others to shut up
"trent too old to understand the meaning of 2 man, sad",toxic,Mocking the streamer's age in a dismissive manner
everybody clap for trent getting laid for the first time,toxic,Mocking/teasing the streamer about their personal/sexual life in a demeaning way
trent dumped katie and became a slut,toxic,Derogatory comment about streamer's personal life using slur language
no wonder biev aint getting ass,toxic,Crude insult directed at another user/streamer about their personal life.
guys with that haircut attract big women,toxic,Body-shaming comment mocking both the streamer and women.
Trent trying to get sloppy seconds,toxic,"Crude, sexually degrading comment about another person."
why does ur wife hate u bruh lol,toxic,Personal attack mocking the streamer's marriage/relationship.
Biev Sidebitch,toxic,Derogatory name-calling implying infidelity or disrespect.
Narendra Modi India fuck pNarendra Modi India fuck pm . Narendra Modi India fuck pm .Narendra Modi India fuck pm .,toxic,"Spam/harassment with profanity directed at a political figure, disrupting chat."
paper bag her though 👀,toxic,Demeaning sexual comment about a woman's appearance.
blonde that looks like a chipmunk,toxic,Mocking a woman's physical appearance in a derogatory way.
Bree delio stinks,toxic,Direct insult toward a specific person.
L gootz for ending stream,toxic,Mild negativity/insult directed at streamer for ending stream
mariners fuck,toxic,Crude/vulgar expression of frustration toward a team
fake ass demon U,toxic,Insulting/mocking another user or entity with crude language
they just skull fucked the hornets,toxic,"Crude, vulgar language describing a game outcome"
5 out of 8 nba games with double digit spreads. dogshit league,toxic,Profane insult directed at the NBA league
shit play,toxic,Mild toxic language dismissing a betting play
sixers ML has never been more free,persuasion,"Promoting a bet as guaranteed/free money, normalizing overconfidence in gambling"
shit aint hitting,toxic,Mild toxic/negative language about bets
yes trent fade ravs ass,toxic,Crude language encouraging fading/betting against another user
maxey PRA 🔒,persuasion,"Lock emoji implies guaranteed bet, promoting overconfidence in gambling outcomes"
undefeated and the blow????🤡,toxic,"Clown emoji used mockingly, potentially insulting streamer or another user"
fuck Krabs,toxic,Profane insult directed at a person (likely streamer or user)
Oh hes ass dude,toxic,Crude insult directed at a player or person
He is ass,toxic,Crude insult directed at a person being discussed.
cheeks,toxic,Slang insult meaning someone/something is bad.
leiter over Ks lock it in,persuasion,Pressuring others to bet with 'lock it in' language implying certainty.
he is horrenous.,toxic,Harsh insult directed at a person.
Biev knows absolutely nothing about Baseball,toxic,Dismissive insult attacking the streamer's knowledge.
He's bad,toxic,Simple insult directed at a person.
skenes is asscheeks,toxic,Crude insult directed at a player.
sasaki is cheeks,toxic,Slang insult directed at a player.
Biev ain't locked in man,toxic,Criticism implying the streamer is not focused or competent.
cheeks,toxic,Slang insult meaning someone/something is bad.
Maybe lock in,persuasion,Sarcastic pressure suggesting someone should commit to a bet.
she needs to be stoned then sniped then ran over,toxic,Violent threats/death wishes directed at another person
The people who sub to her should be sent to iran,toxic,Hostile comment implying violence or harm toward subscribers
@jthorpe419 she's needs to be throw in the dungeon in chewys basement,toxic,Continuation of violent/threatening rhetoric about kidnapping/imprisonment
She should be in prison,toxic,Aggressive statement suggesting someone deserves imprisonment without context.
No im trying to hate shes a fuckin loser lmao,toxic,Explicit insult calling someone a 'fuckin loser' while admitting intent to hate.
just faded Biev thanks. see you at the cash counter,toxic,Mocking the streamer by publicly announcing fading their picks and bragging about cashing.
im trents dad,toxic,Potentially deceptive identity claim or trolling behavior in chat.
hes trash,toxic,Derogatory insult directed at another person
Trents not good at any games,toxic,Mocking/insulting the streamer's abilities
we dont play thats how bad trent is,toxic,Insulting the streamer's skill level
snell bro id actually drop 20 runs on your head,toxic,Aggressive trash talk directed at another user
this guy is so Jewish lol,toxic,Comment invoking religious/ethnic identity in a mocking manner
fuck the Astros,toxic,Profane expression of hostility toward a team
Just tail BTL lads,persuasion,Encouraging others to follow betting picks without critical thinking
Trent rigging boxes,toxic,"Accusing the streamer of rigging/cheating, which is a form of harassment."
@bamannsports soft af,toxic,"Mild insult directed at another user, calling them 'soft'."
lock it in,persuasion,Pressuring others to bet with confident language implying certainty.
rich major you won't even hit a 5 streak,toxic,"Mocking another user's betting ability in a dismissive, insulting manner."
The Big 3 of Unemployment: Gav/Biev/Rich Major,toxic,Automated message publicly mocking specific users as unemployed.
Sounds like you're getting addicted  sean,addiction_normalization,Casually mentions addiction in a joking/dismissive tone rather than expressing genuine concern
@sharpeone69 we are all degens in here,addiction_normalization,Normalizes problematic gambling behavior by embracing 'degen' identity as a group norm
Hit tolbert you bum,toxic,Insulting a player by calling them a 'bum'
3 or 88 Dumbass Dak,toxic,Calling the quarterback a 'dumbass' - insulting a player
Stupid f****** rs lmmfao,toxic,Profane insult directed at players or refs
Dak a Sak of shit,toxic,Crude insult directed at NFL player Dak Prescott.
"Throw.
That b****",toxic,Aggressive language with censored profanity expressing frustration.
Sack that ass,toxic,"Crude/aggressive language in sports context, borderline inappropriate."
Get that mufuka off the field,toxic,Aggressive language with profanity directed at a player.
Sorry mothers,toxic,Abbreviated insult (likely 'sorry motherf***ers') directed at team/players.
Puxxxxies,toxic,Vulgar insult directed at players or others in chat.
made $5k on p6 this weekend and gave it all back. feel so stupid now i want to make it back🤦‍♂️,addiction_normalization,"Describes chasing losses after a significant win/loss cycle, a hallmark of problem gambling behavior."
"Gents! Much love, appreciate the vibes. Fuck Boston 🫡",toxic,Gratuitous profanity directed at a team/fanbase.
3 and D - title of Vs sextape,toxic,"Sexual joke directed at another person in the chat, potentially harassing"
can't fix stupid my guy!!,toxic,Dismissive insult calling people stupid in context of impaired driving discussion
walkout songs made me want to beat the life outta Timmy Trumpet,toxic,"Expressing violent intent toward a musician, even if hyperbolic."
I hope V's dog shits on the carpet today,toxic,"Mildly hostile comment directed at another user, wishing minor misfortune."
"Atlanta as a favorite tonight, put the mortgage on it",addiction_normalization,Encourages reckless gambling by suggesting betting one's mortgage on a game
"sarr reb is free ,oney",persuasion,Framing a bet as 'free money' promotes false certainty and encourages risky betting
cash Embiid 1Q pts Free as pa… he cash's every single game!!,persuasion,"Presents a bet as guaranteed/free money, which is misleading and encourages reckless betting behavior."
football player before all of our times @karmvirsingh7890,,
what little divas lol,toxic,"Mildly dismissive/insulting comment directed at players or others, calling them 'little divas'."
I turn 26 today. for my bday can I have a good funny Jeff Sunday story,,
laughing at you,toxic,Mocking or derisive comment directed at another user or the streamer
slackpacks subscribed at Tier 1. They've subscribed for 14 months! bitch,toxic,Gratuitous insult included in subscription message
fucking kai jones,toxic,Profane aggression directed at a player
fuck SGA bro,toxic,Profane hostility directed at a player
Fuck SGA,toxic,Profane hostility directed at a player
rooting for your conference is cuck behavior,toxic,Uses derogatory slur to insult others' sports opinions.
fuck Michigan,toxic,Aggressive profanity directed at a team/fanbase.
Always fucking yapping about shitty ahh ahh Tampa,toxic,Aggressive language and insults directed at streamer's content preferences
Yankees own your poverty rays degen,toxic,Insult combining sports trash talk with 'poverty' slur and 'degen' name-calling
Shit wager,toxic,Dismissive insult targeting someone's betting choice
Krabs loves to lose $$,toxic,Mocking another user for losing money gambling
fuck the brewers - trent - budman,toxic,"Aggressive language directed at a sports team, mild hostility"
@bookitsports fuck u for taking my brewers,toxic,Direct profane insult toward another user
these Ai fruits gotta stop man,toxic,Use of 'fruits' as a slur in context could be considered derogatory
This is fucked up,toxic,Mildly aggressive/vulgar expression of disapproval
shit is so restarted,toxic,Use of ableist slur (misspelled 'retarded')
AI fruit shit pisses me off,toxic,Aggressive expression of frustration with vulgar language
all the fruit have fat ass and tits too,toxic,Crude sexual commentary that contributes to inappropriate chat environment
grown ass man,toxic,Mocking/dismissive comment directed at streamer or other users
grown men btw 😭🥀,toxic,Mocking comment shaming adults for their behavior
Steak you got gastric problems at home? Steak you got gastric problems at home? Steak you got gastric problems at home?Steak you got gastric problems at home?,toxic,Spamming the same mocking question repeatedly constitutes harassment toward the streamer.
it's not even funny it's just the R word,toxic,Reference to using a slur (the R word) as humor normalizes offensive language.
fuck you gootz,toxic,Direct profane insult targeted at the streamer
ohtani is the best your fucking sick,toxic,Aggressive language and insult directed at another user over a sports opinion
when I see players on base I bust when kwan walks up,toxic,Sexual innuendo/crude language in public chat
fill my holes with Kwan propaganda,toxic,Sexual innuendo/crude language in public chat
yea tax us more degen isn't this fucking america u communist,toxic,Aggressive language calling someone a communist as an insult in response to discussion
do you say it like that when you take bumps too?,toxic,Implies or accuses another user of drug use (cocaine reference)
biev finds a way to complain about everything,toxic,Passive-aggressive personal criticism directed at another chat member
how about that one guy who bets TB Rays all hitters to get a hit 9 leg. that guys is a clown,toxic,Mocking another bettor's strategy by calling them a clown
steaks dumbass ain't figuring out baseball savant,toxic,Insult directed at another user calling them a 'dumbass'
Fuckk Duke,toxic,Aggressive profanity directed at a team/fanbase
will wade smells like shit,toxic,Crude insult directed at a named individual
feel like Phillies bounce back against a guy making his debut is TOO OBVIOUS,persuasion,Framing a bet as 'obvious' creates false certainty and FOMO pressure to follow the pick.
boring ass stream,toxic,Dismissive insult directed at the stream/streamer.
tail me,persuasion,Directly encouraging others to follow their bets without providing reasoning or acknowledging risk.
Riggs actually blows,toxic,Derogatory insult directed at streamer or personality.
fuck steak talking about?,toxic,Aggressive/vulgar dismissal directed at another person.
LeSperm James up next,toxic,Crude derogatory nickname mocking a player.
steak being pretty hypocritical rn his pussy hurts,toxic,Vulgar insult directed at streamer
lol get this fat loser off the screen,toxic,Body-shaming insult and harassment toward streamer
grow the fuck up.,toxic,Aggressive dismissive comment
man shut that shit up,toxic,Aggressive hostile dismissal
fuck outta here @cokebuttachees,toxic,Aggressive response directed at another user
Lebron has a gaping pussy,toxic,Vulgar degrading comment
this dude such a fat loser 🤣🤣🤣,toxic,Repeated body-shaming harassment toward streamer
this dude is just fat as fuck still talking about LeBron,toxic,Continued body-shaming harassment toward streamer
are we 12,,
this fat fuck still yapping about LeBron 🤣🤣🤣 rent free tubby,toxic,Body shaming and insulting the streamer with derogatory language
@cokebuttachees definitely is pushing 500 lbs,toxic,Body shaming another user with exaggerated weight insult
lebron is my goat but he's retarded,toxic,Use of ableist slur
fuck you @crezo27,toxic,Direct hostile aggression toward another user
fuck degen,toxic,Direct profanity and insult toward the streamer
shut up,toxic,Dismissive hostile comment toward another user
seek help @cokebuttachees,toxic,Condescending insult directed at another user
hold my nuts pussC 🤣🤣🤣🤣,toxic,Vulgar insult and harassment toward other users
@cokebuttachees loser,toxic,Direct insult targeting another user
got the dick all in ya MOUF,toxic,Vulgar sexual insult directed at another user
fuck @cokebuttachees,toxic,Direct profane attack targeting specific user
Coke butta cheese prolly weighs 400 pounds,toxic,Body-shaming insult directed at another user
get it out ya mouf can't understand ya,toxic,Vulgar dismissive insult continuing harassment
Lfg 18,,
No more f****** Jacob when I don't pick them he show his ass,toxic,Profanity-laced frustration expressing anger over betting losses
Wow that was fukkkin stupid,toxic,"Mild aggressive language expressing frustration, borderline toxic tone."
If Jones doesn't get this rigged,toxic,Accusing the platform/game of being rigged promotes distrust and conspiracy thinking.
Rigged asf,toxic,"Repeated accusations of rigging without basis, promoting conspiratorial mindset."
F n dk going to make me chase today lol,addiction_normalization,"Normalizes 'chasing losses,' a classic gambling addiction behavior, framed casually."
F u .c .89k  you Jacobs,toxic,"Profane outburst directed at a player, expressing frustration aggressively."
Pure b*******,toxic,Profane expression of frustration contributing to negative chat environment.
F f f f f fck,toxic,"Profane outburst expressing gambling frustration, contributes to toxic atmosphere."
First off...he should be dead,toxic,Expressing a violent sentiment suggesting someone should be dead.
@abizney disgusting odds but fuck it,addiction_normalization,"Dismisses poor odds as irrelevant, normalizing impulsive betting despite unfavorable conditions."
"Take the mavs too, the bucks are horrible",persuasion,Directly pressuring others to place a specific bet with confident framing.
"buddy, talk shit about my dog one more time….",toxic,Implied threat toward another user in the chat
Shags should get this. he's a fat fuck,toxic,Body-shaming insult directed at the streamer
Shags looks like he sweats Big Mac sauce,toxic,Body-shaming insult directed at the streamer
"no one is going to Kansas, loser",toxic,Name-calling directed at another user
more losers,toxic,General insult directed at chat participants
You're better off using the money to gamble rather than buying a ring,persuasion,"Encouraging gambling over life decisions, normalizing prioritizing betting"
fun fact: the person you marry is also the first person police suspect in your homicide,toxic,"Dark humor about spousal homicide directed at someone who just got engaged, potentially distressing"
2 hosts who one is down -61 units,toxic,Publicly calling out and shaming a host for gambling losses
Jovan why don't you tell the crowd how you are down 61 units on pikkit,toxic,"Harassment directed at specific host, publicly shaming them for gambling losses"
might be 50 before I'm groomed,,
Trent is a Horny Teen rn,toxic,Sexually-charged comment about another user being a 'horny teen'
Sac up Rav,toxic,Mildly aggressive language pressuring another user to take action.
Surely the Nats splooge again against painter making his debut right ?,toxic,Use of crude/vulgar language in the chat.
I lock it in prior to acknowledging my families existence,addiction_normalization,"Normalizes prioritizing gambling over family relationships, suggesting compulsive behavior patterns."
Easy money,addiction_normalization,"Promotes the idea that betting wins are easy, normalizing risky gambling behavior."
im 9th,,
take all 3 home teams on the money line,persuasion,"Directly advising others to place specific bets, which constitutes gambling persuasion."
thot daughter.,toxic,Derogatory sexual term used to insult someone.
i would kill a small child in gta for mlb games,toxic,"Violent hyperbole involving harming a child, even in a game context is inappropriate."
Jovan is ungrateful and should be ashamed,toxic,Direct personal attack and shaming of the streamer.
keavs so selfish man,toxic,Personal insult directed at a streamer or community member.
krabs soft,toxic,Insult directed at streamer calling them weak.
Bud Light is perfect for 2005 Beer Pong,,
krabs wants a handout ?,toxic,Mocking/insulting the streamer by implying they are begging for handouts.
Seattle TT under 3.5 book it,persuasion,Directive language pressuring others to place a specific bet with confident urgency.
Turner has killed me this season.  Would make sense for him to do job when I dont want to put hard 9-5 earned paycheck on him,addiction_normalization,"Normalizes betting entire paychecks on sports, suggesting reckless gambling with earned income."
Crazy to think Krabs pushed for a Soft Ball team but won't to a HR parlay,persuasion,"Pressuring/shaming the streamer for not placing a specific bet type, implying they should be betting more."
ngl reds moneyline is a lock,addiction_normalization,Presenting a bet as a guaranteed 'lock' promotes overconfidence and reckless gambling behavior.
Krabs....the specials tab on prize picks is SCREAMING your name today..,persuasion,Using urgency and FOMO language to pressure the streamer into placing bets on a specific platform.
Gootz couldn't even find Japan on a map,toxic,"Mocking insult directed at another user, suggesting ignorance."
Saddam Krabs,toxic,"Comparing streamer to dictator Saddam Hussein, mocking insult."
osama bin Krab,toxic,"Comparing streamer to terrorist Osama bin Laden, offensive insult."
Kim Jong Krabs,toxic,"Comparing streamer to dictator Kim Jong-un, mocking insult."
rubbish,toxic,Dismissive/negative comment that could be mildly toxic depending on context
Ward = 🗑,toxic,Calling a player trash is a mild insult/harassment
This game is trash 🗑,toxic,Disparaging comment about the game quality
Terrible game,toxic,Negative criticism of the game
@mrrichland U should hope he does so u can kick his azzz lol,toxic,"Encouraging physical violence, even if framed as a joke"
what a joke of a team,toxic,"Dismissive insult directed at a team, contributing to negative chat atmosphere."
Titans offense as flaccid as an old mans dick,toxic,"Crude, vulgar language inappropriate for public chat."
Selfish mother,toxic,"Truncated insult directed at a player, toxic language."
weakness,toxic,Dismissive insult directed at others in chat.
Hahahahah fukkker,toxic,Vulgar insult directed at someone.
P ssy shit,toxic,Vulgar language expressing frustration in aggressive manner.
how much should we nuke,addiction_normalization,Using 'nuke' to describe betting large amounts normalizes reckless gambling behavior.
just nuked bro,addiction_normalization,Casually announcing a large reckless bet normalizes high-risk gambling.
dumass,toxic,Direct insult toward another user
They're trying to suck bullcity1's back side. It is BS and I am about to barf.,toxic,"Crude, aggressive language expressing hostility"
Ty biches,toxic,Mildly insulting language directed at others
The only running back who played good today was this old worn out piece of trash... SMH,toxic,Derogatory language referring to a player as 'piece of trash'
Dance you mofo,toxic,Profane/aggressive language directed at someone
Refs suck. Scripted.,toxic,"Dismissive accusation that games are rigged/scripted, which can normalize distrust and conspiracy thinking around betting outcomes."
@delek_bass Get out while you can,persuasion,"Creates urgency and fear-based pressure around betting decisions, potentially influencing impulsive behavior."
Based on kickbacks to DK employees,toxic,"Accusation of corruption and rigging against the platform, spreading unfounded conspiracy claims."
Eck c'mon bich,toxic,Mild insult directed at a player or streamer.
Gay with the wiener,toxic,Crude sexual innuendo that could be considered offensive.
gents! much love! appreciate the vibes! FUCK Boston!,toxic,Aggressive language directed at a sports team/fanbase
screams working with the sportsbooks to me,toxic,"Promotes conspiracy theory about refs colluding with sportsbooks, potentially normalizing distrust and encouraging reckless betting behavior"
if he has 0 I will be at Sukh's house because I will have nowhere to live,addiction_normalization,"Implies betting so much money that losing would result in homelessness, normalizing reckless financial risk."
Good miss scrub,toxic,Insulting someone by calling them a 'scrub' after a miss.
i  lose all the time peez,addiction_normalization,"Normalizing frequent gambling losses as a casual, acceptable occurrence."
if there was a completion for losses I'm in first,addiction_normalization,"Making light of chronic gambling losses, normalizing losing as part of the betting culture."
Jwar is fukn loose!!,toxic,Mildly aggressive language with profanity directed at a person.
dont fall for that trap,persuasion,Attempting to influence another user's betting decisions by warning them off NBA bets.
This fukn guy.rlman what,toxic,Mild profanity expressing frustration/aggression toward someone
screw you roon,toxic,"Mild insult directed at another user, though likely playful in context"
screw you to peez,toxic,Direct insult toward another user in the chat.
screw everyone,toxic,General hostile outburst directed at the entire chat.
f you worthy,toxic,Profane insult directed at a player after a bad outcome.
you piece of sjot,toxic,Continuation of profane insult with mild obfuscation.
hit 4 your old geezer,toxic,Mildly insulting/mocking language directed at another user or the streamer based on age.
grey hair needs to hit 4,toxic,Mocking reference to someone's age/appearance in a dismissive manner.
on a post pattern not a crossing rout fool,toxic,Name-calling ('fool') directed at another user in the chat.
Fu k off 30,toxic,Aggressive language directed at a player or user.
Rice with vaginna sauce,toxic,Crude sexual reference contributing to toxic chat environment.
rice f you,toxic,Hostile profanity directed at a player expressing frustration aggressively.
hit 4 you grey ass beeeech,toxic,Aggressive insult using profanity directed at a target.
87 get those old knees down field beeeech,toxic,Mildly aggressive language using profanity toward a player.
some fr🔥ed rice mufuka with a side of tit sauce,toxic,Crude sexual language in a public chat.
This Mufuka 😡,toxic,Aggressive/hostile language directed at someone
Hit 4 bit¢h,toxic,Contains slur/insult while demanding betting outcome
f worthy he ain't worthy,toxic,Profanity-laced dismissal/insult toward a player
they running idiots,toxic,Insulting language directed at players/coaches
Muth sucks,toxic,Derogatory comment about a player
Austin in bum,toxic,Insulting a player by calling them a 'bum'
love it when a casino doesn't recongnize a flaw,addiction_normalization,"Celebrates exploiting casino vulnerabilities, normalizing gambling as a beatable system."
f horton,toxic,Abbreviated profanity directed at a player in a derogatory manner.
get off the field vbeeeech,toxic,Uses slur/insult ('bitch') directed at a player.
run beeechehs,toxic,Uses slur/insult ('bitches') in reference to players.
geno be your shitty self,toxic,Derogatory insult directed at a player.
Let's go mufuka 🔥🔥🔥💪🏾💩,toxic,Use of vulgar language that could be considered mildly aggressive in tone.
darnold you beeeeech,toxic,Directed insult at a player using a slur variation.
***tle wrs r dogshit on bere,toxic,Crude language and dismissive insult toward players.
Dogshit wrs,toxic,Crude insult directed at players/team performance
f bowers,toxic,Profane dismissal directed at a player
meth heads never learn,toxic,Derogatory term mocking people with addiction issues
same with the horse and powder and crack stonz,toxic,"Casual drug references in a gambling context, normalizing harmful behaviors"
f that shit,toxic,Profane expression contributing to toxic chat environment
f you bowers,toxic,Direct profanity and hostility directed at a player
MOTHER UDFJHIOKED:SFRHIUP:EWHRFNIO:SHNFVOKIJ:WSEHRFIO:JHNKGOD:SJHRFIK:OWEJRwio;e,toxic,Attempted profanity outburst expressing aggressive frustration
11 you dumb ass mofo,toxic,Insult and profanity directed at another user or player
f that hit jigba you dumb ass,toxic,Profanity and insult expressing frustration
Nice catch dogshit,toxic,Sarcastic insult with profanity directed at a player
Enuff White Pass Catchers,toxic,Racially charged comment about player demographics.
Geno bum azzz is mostly a good play in simland,toxic,Uses derogatory language ('bum azzz') to insult a player
fg ot wins really suck ass,toxic,Crude/vulgar language expressing frustration
What a Shitty ending,toxic,Crude language expressing frustration
trump and putin need to both be gone,toxic,Aggressive political statement that could be interpreted as calling for harm
his an absolute dumb ass,toxic,Direct insult using vulgar language
6/14/88,,
scorekeeper back to snortn dust off the strippers ass,toxic,"Crude, vulgar comment referencing drug use that contributes to toxic chat environment"
Nice throw dikshit,toxic,Name-calling insult directed at a player using vulgar language
Here was sorry azz Stroud 💩,toxic,Mocking/insulting a player with derogatory language
Lol.dikshit,toxic,Name-calling using vulgar language
Throw it dikfuk!,toxic,Vulgar insult directed at a player
This muthrfkr kills nico,toxic,Vulgar language expressing frustration
scorekeeper must be cirlc jerkn or something,toxic,Crude sexual reference used as an insult
He jerkin it solo stonz 🤦🏾‍♂️,toxic,Crude sexual reference continuing inappropriate joke
I said cotton getting fukn loose,toxic,Mild vulgarity in message
Yup.b fukn s,toxic,Abbreviated profanity expressing frustration
Stroud straight Baby shit,toxic,Derogatory insult toward a player using crude language.
Nico blowing pooch,toxic,Crude insult directed at a player's performance.
Nico in bust a nut mode,toxic,Sexually crude comment used to mock a player.
Catch that u dikshit,toxic,Direct insult using vulgar language toward a player.
Catch that u dikshit,toxic,Direct insult using vulgar language toward another user or player.
Like your ex-wife,toxic,Sexual innuendo used as an insult referencing another user's ex-wife.
She did him too,toxic,Continuing sexual innuendo as part of degrading exchange.
Mike greedy as fck,toxic,Aggressive insult with profanity directed at a player.
Let someone else score fool,toxic,Name-calling directed at a player.
Fck both teams,toxic,Profane dismissive aggression.
Eddy is a groper,toxic,Serious defamatory accusation of sexual misconduct.
Grropes Large animals,toxic,Continuing defamatory sexual misconduct joke/accusation.
DK y'all ain't shit,toxic,Hostile insult directed at DraftKings platform.
Fck Baker,toxic,Profane insult directed at a player.
Just shove it up ur axx,toxic,"Crude, vulgar comment expressing frustration aggressively."
I said shove that football in ur azhole,toxic,Vulgar and aggressive language.
Run like a dumass,toxic,Insult using derogatory language toward a player.
2 muthrfukr,toxic,Profane outburst expressing frustration.
fuck the intro. we need to review the damn board today! day baseball slate is 🔥🔥,toxic,Aggressive demand directed at the streamer to skip content.
"If I dont hit a noon bet today, my students are going to be having silent lunch",addiction_normalization,"Jokes about punishing students based on gambling outcomes, normalizing gambling affecting daily responsibilities."
"Thinking about throwing on a fake ""nuclear missile approaching the US"" on my TV really loud and waking Hannah up in a panic as an April fools joke on her",toxic,Describes planning a cruel prank involving fake emergency alerts to cause panic.
they both suck,toxic,Low-effort disparaging comment about individuals being discussed.
"Tiger should widely be considered a complete loser nowadays, he has earned that",toxic,Harsh personal attack labeling a public figure as a 'complete loser.'
He's an old fuck,toxic,Mild insult/derogatory language directed at someone
fuck you steak,toxic,Direct verbal aggression/harassment toward the streamer
@bookofchew & you choking on me 😘,toxic,Sexual innuendo directed at another user in a mocking/harassing manner
@bookofchew 🤡,toxic,Using clown emoji to mock/insult another user
@bookofchew you didn't even understand what I was saying … get to hooters,toxic,Dismissive insult implying the other user is unintelligent
@panhandlebetter you were just born in the worst time for a Boston Sports fan…think you should win a championship in everything except hockey,,
fuck Tyus jones,toxic,"Aggressive, profane insult directed at a player."
PLEASEEE STEAK DEGEN you legends can you each give me one early moneyline for games today if it hits I gift the show SUBS,persuasion,"Pressuring streamers to provide betting picks with incentive of gifted subs, encouraging gambling behavior."
he is a fuck,toxic,Vulgar insult directed at a referee.
Hes braindead,toxic,Ableist insult used to attack someone's intelligence.
Idk if theres a way to cap him being an r word,toxic,Uses ableist slur ('r word') to describe someone
His problem is he's f****** blind,toxic,Aggressive insult directed at someone (likely an umpire)
